"baseline","survey","country","variable","source","records","imputed_records","missing_records"
"previous_primary","AO62FL","AGO","dtp3_pct","UNICEF_WUENIC_country_year",44181,44181,0
"previous_primary","AO62FL","AGO","measles_pct","UNICEF_WUENIC_country_year",44181,44181,0
"eligible_MAP","AO62FL","AGO","dtp3_pct","UNICEF_WUENIC_country_year",44181,44181,0
"eligible_MAP","AO62FL","AGO","measles_pct","UNICEF_WUENIC_country_year",44181,44181,0
"previous_primary","AO71FL","AGO","dtp3_pct","retained_regional_estimate",78397,0,0
"previous_primary","AO71FL","AGO","measles_pct","retained_regional_estimate",78397,0,0
"eligible_MAP","AO71FL","AGO","dtp3_pct","retained_regional_estimate",78397,0,0
"eligible_MAP","AO71FL","AGO","measles_pct","retained_regional_estimate",78397,0,0
"previous_primary","AO81FL","AGO","dtp3_pct","retained_regional_estimate",64704,0,0
"previous_primary","AO81FL","AGO","measles_pct","retained_regional_estimate",64704,0,0
"eligible_MAP","AO81FL","AGO","dtp3_pct","retained_regional_estimate",64704,0,0
"eligible_MAP","AO81FL","AGO","measles_pct","retained_regional_estimate",64704,0,0
"previous_primary","BU61FL","BDI","dtp3_pct","retained_regional_estimate",38597,0,0
"previous_primary","BU61FL","BDI","measles_pct","retained_regional_estimate",38597,0,0
"eligible_MAP","BU61FL","BDI","dtp3_pct","retained_regional_estimate",38604,0,0
"eligible_MAP","BU61FL","BDI","measles_pct","retained_regional_estimate",38604,0,0
"previous_primary","BU71FL","BDI","dtp3_pct","retained_regional_estimate",76022,0,0
"previous_primary","BU71FL","BDI","measles_pct","retained_regional_estimate",76022,0,0
"eligible_MAP","BU71FL","BDI","dtp3_pct","retained_regional_estimate",76022,0,0
"eligible_MAP","BU71FL","BDI","measles_pct","retained_regional_estimate",76022,0,0
"eligible_MAP","BJ41FL","BEN","dtp3_pct","retained_regional_estimate",1588,0,0
"eligible_MAP","BJ41FL","BEN","measles_pct","retained_regional_estimate",1588,0,0
"previous_primary","BJ51FL","BEN","dtp3_pct","retained_regional_estimate",83719,0,0
"previous_primary","BJ51FL","BEN","measles_pct","retained_regional_estimate",83719,0,0
"eligible_MAP","BJ51FL","BEN","dtp3_pct","retained_regional_estimate",88834,0,0
"eligible_MAP","BJ51FL","BEN","measles_pct","retained_regional_estimate",88834,0,0
"previous_primary","BJ61FL","BEN","dtp3_pct","retained_regional_estimate",78171,0,0
"previous_primary","BJ61FL","BEN","measles_pct","retained_regional_estimate",78171,0,0
"eligible_MAP","BJ61FL","BEN","dtp3_pct","retained_regional_estimate",78171,0,0
"eligible_MAP","BJ61FL","BEN","measles_pct","retained_regional_estimate",78171,0,0
"previous_primary","BJ71FL","BEN","dtp3_pct","retained_regional_estimate",74813,0,0
"previous_primary","BJ71FL","BEN","measles_pct","retained_regional_estimate",74813,0,0
"eligible_MAP","BJ71FL","BEN","dtp3_pct","retained_regional_estimate",74813,0,0
"eligible_MAP","BJ71FL","BEN","measles_pct","retained_regional_estimate",74813,0,0
"previous_primary","BF43FL","BFA","dtp3_pct","retained_regional_estimate",27893,0,0
"previous_primary","BF43FL","BFA","measles_pct","retained_regional_estimate",27893,0,0
"eligible_MAP","BF43FL","BFA","dtp3_pct","retained_regional_estimate",40778,0,0
"eligible_MAP","BF43FL","BFA","measles_pct","retained_regional_estimate",40778,0,0
"previous_primary","BF62FL","BFA","dtp3_pct","retained_regional_estimate",84694,0,0
"previous_primary","BF62FL","BFA","measles_pct","retained_regional_estimate",84694,0,0
"eligible_MAP","BF62FL","BFA","dtp3_pct","retained_regional_estimate",84743,0,0
"eligible_MAP","BF62FL","BFA","measles_pct","retained_regional_estimate",84743,0,0
"previous_primary","BF81FL","BFA","dtp3_pct","retained_regional_estimate",74127,0,0
"previous_primary","BF81FL","BFA","measles_pct","retained_regional_estimate",74127,0,0
"eligible_MAP","BF81FL","BFA","dtp3_pct","retained_regional_estimate",74127,0,0
"eligible_MAP","BF81FL","BFA","measles_pct","retained_regional_estimate",74127,0,0
"previous_primary","CI62FL","CIV","dtp3_pct","retained_regional_estimate",39760,0,0
"previous_primary","CI62FL","CIV","measles_pct","retained_regional_estimate",39760,0,0
"eligible_MAP","CI62FL","CIV","dtp3_pct","retained_regional_estimate",39785,0,0
"eligible_MAP","CI62FL","CIV","measles_pct","retained_regional_estimate",39785,0,0
"previous_primary","CI81FL","CIV","dtp3_pct","retained_regional_estimate",61165,0,0
"previous_primary","CI81FL","CIV","measles_pct","retained_regional_estimate",61165,0,0
"eligible_MAP","CI81FL","CIV","dtp3_pct","retained_regional_estimate",61165,0,0
"eligible_MAP","CI81FL","CIV","measles_pct","retained_regional_estimate",61165,0,0
"previous_primary","CM44FL","CMR","dtp3_pct","retained_regional_estimate",28849,0,0
"previous_primary","CM44FL","CMR","measles_pct","retained_regional_estimate",28849,0,0
"eligible_MAP","CM44FL","CMR","dtp3_pct","retained_regional_estimate",38707,0,0
"eligible_MAP","CM44FL","CMR","measles_pct","retained_regional_estimate",38707,0,0
"previous_primary","CM61FL","CMR","dtp3_pct","retained_regional_estimate",64619,0,0
"previous_primary","CM61FL","CMR","measles_pct","retained_regional_estimate",64619,0,0
"eligible_MAP","CM61FL","CMR","dtp3_pct","retained_regional_estimate",64649,0,0
"eligible_MAP","CM61FL","CMR","measles_pct","retained_regional_estimate",64649,0,0
"previous_primary","CM71FL","CMR","dtp3_pct","retained_regional_estimate",45034,0,0
"previous_primary","CM71FL","CMR","dtp3_pct","UNICEF_WUENIC_country_year",940,940,0
"previous_primary","CM71FL","CMR","measles_pct","retained_regional_estimate",45034,0,0
"previous_primary","CM71FL","CMR","measles_pct","UNICEF_WUENIC_country_year",940,940,0
"eligible_MAP","CM71FL","CMR","dtp3_pct","retained_regional_estimate",45034,0,0
"eligible_MAP","CM71FL","CMR","dtp3_pct","UNICEF_WUENIC_country_year",940,940,0
"eligible_MAP","CM71FL","CMR","measles_pct","retained_regional_estimate",45034,0,0
"eligible_MAP","CM71FL","CMR","measles_pct","UNICEF_WUENIC_country_year",940,940,0
"previous_primary","CD51FL","COD","dtp3_pct","retained_regional_estimate",47378,0,0
"previous_primary","CD51FL","COD","measles_pct","retained_regional_estimate",47378,0,0
"eligible_MAP","CD51FL","COD","dtp3_pct","retained_regional_estimate",47647,0,0
"eligible_MAP","CD51FL","COD","measles_pct","retained_regional_estimate",47647,0,0
"previous_primary","CD61FL","COD","dtp3_pct","retained_regional_estimate",102125,0,0
"previous_primary","CD61FL","COD","measles_pct","retained_regional_estimate",102125,0,0
"eligible_MAP","CD61FL","COD","dtp3_pct","retained_regional_estimate",102125,0,0
"eligible_MAP","CD61FL","COD","measles_pct","retained_regional_estimate",102125,0,0
"previous_primary","CD81FL","COD","dtp3_pct","retained_regional_estimate",137621,0,0
"previous_primary","CD81FL","COD","measles_pct","retained_regional_estimate",137621,0,0
"eligible_MAP","CD81FL","COD","dtp3_pct","retained_regional_estimate",137621,0,0
"eligible_MAP","CD81FL","COD","measles_pct","retained_regional_estimate",137621,0,0
"previous_primary","CG51FL","COG","dtp3_pct","retained_regional_estimate",20264,0,0
"previous_primary","CG51FL","COG","measles_pct","retained_regional_estimate",20264,0,0
"eligible_MAP","CG51FL","COG","dtp3_pct","retained_regional_estimate",25794,0,0
"eligible_MAP","CG51FL","COG","measles_pct","retained_regional_estimate",25794,0,0
"previous_primary","CG61FL","COG","dtp3_pct","retained_regional_estimate",51016,0,0
"previous_primary","CG61FL","COG","measles_pct","retained_regional_estimate",51016,0,0
"eligible_MAP","CG61FL","COG","dtp3_pct","retained_regional_estimate",51029,0,0
"eligible_MAP","CG61FL","COG","measles_pct","retained_regional_estimate",51029,0,0
"previous_primary","KM61FL","COM","dtp3_pct","retained_regional_estimate",17936,0,0
"previous_primary","KM61FL","COM","measles_pct","retained_regional_estimate",17936,0,0
"eligible_MAP","KM61FL","COM","dtp3_pct","retained_regional_estimate",17998,0,0
"eligible_MAP","KM61FL","COM","measles_pct","retained_regional_estimate",17998,0,0
