"survey","country","survey_year","regkey","dtp3_pct","measles_pct","dtp3_pct_before_imputation","dtp3_pct_imputed","dtp3_pct_source_year","dtp3_pct_imputation_source","measles_pct_before_imputation","measles_pct_imputed","measles_pct_source_year","measles_pct_imputation_source"
"AO62FL","AGO",2011,"hyperendemic",50,59,,TRUE,2011,"UNICEF_WUENIC_country_year",,TRUE,2011,"UNICEF_WUENIC_country_year"
"AO62FL","AGO",2011,"luanda",50,59,,TRUE,2011,"UNICEF_WUENIC_country_year",,TRUE,2011,"UNICEF_WUENIC_country_year"
"AO62FL","AGO",2011,"mesoendemicstable",50,59,,TRUE,2011,"UNICEF_WUENIC_country_year",,TRUE,2011,"UNICEF_WUENIC_country_year"
"AO62FL","AGO",2011,"mesoendemicunstable",50,59,,TRUE,2011,"UNICEF_WUENIC_country_year",,TRUE,2011,"UNICEF_WUENIC_country_year"
"AO71FL","AGO",2015,"bengo",30.8,41.5,30.8,FALSE,2015,"retained_regional_estimate",41.5,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"benguela",32.9,48.6,32.9,FALSE,2015,"retained_regional_estimate",48.6,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"bie",15.4,27.8,15.4,FALSE,2015,"retained_regional_estimate",27.8,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"cabinda",59.5,62.8,59.5,FALSE,2015,"retained_regional_estimate",62.8,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"cuandocubango",22.7,43.6,22.7,FALSE,2015,"retained_regional_estimate",43.6,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"cuanzanorte",33.3,56.7,33.3,FALSE,2015,"retained_regional_estimate",56.7,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"cuanzasul",28.9,35.1,28.9,FALSE,2015,"retained_regional_estimate",35.1,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"cunene",52.7,60.5,52.7,FALSE,2015,"retained_regional_estimate",60.5,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"huambo",41.3,65.4,41.3,FALSE,2015,"retained_regional_estimate",65.4,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"huila",33,50.4,33,FALSE,2015,"retained_regional_estimate",50.4,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"luanda",55.6,76.4,55.6,FALSE,2015,"retained_regional_estimate",76.4,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"lundanorte",31.2,34.9,31.2,FALSE,2015,"retained_regional_estimate",34.9,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"lundasul",40.1,49.9,40.1,FALSE,2015,"retained_regional_estimate",49.9,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"malanje",43.9,69.4,43.9,FALSE,2015,"retained_regional_estimate",69.4,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"moxico",12.2,25.3,12.2,FALSE,2015,"retained_regional_estimate",25.3,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"namibe",40.6,55.2,40.6,FALSE,2015,"retained_regional_estimate",55.2,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"uige",25.2,44.6,25.2,FALSE,2015,"retained_regional_estimate",44.6,FALSE,2015,"retained_regional_estimate"
"AO71FL","AGO",2015,"zaire",54.7,69.3,54.7,FALSE,2015,"retained_regional_estimate",69.3,FALSE,2015,"retained_regional_estimate"
"AO81FL","AGO",2023,"bengo",32.4,50.8,32.4,FALSE,2023,"retained_regional_estimate",50.8,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"benguela",51.2,50.8,51.2,FALSE,2023,"retained_regional_estimate",50.8,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"bie",27.9,37.7,27.9,FALSE,2023,"retained_regional_estimate",37.7,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"cabinda",85.3,82.2,85.3,FALSE,2023,"retained_regional_estimate",82.2,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"cuandocubango",33.6,42.8,33.6,FALSE,2023,"retained_regional_estimate",42.8,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"cunene",58.2,53.4,58.2,FALSE,2023,"retained_regional_estimate",53.4,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"huambo",27.9,38.5,27.9,FALSE,2023,"retained_regional_estimate",38.5,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"huila",25,28.6,25,FALSE,2023,"retained_regional_estimate",28.6,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"luanda",63.7,81.5,63.7,FALSE,2023,"retained_regional_estimate",81.5,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"malanje",32.9,34.9,32.9,FALSE,2023,"retained_regional_estimate",34.9,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"moxico",8.8,12.8,8.8,FALSE,2023,"retained_regional_estimate",12.8,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"namibe",32.9,48.8,32.9,FALSE,2023,"retained_regional_estimate",48.8,FALSE,2023,"retained_regional_estimate"
"AO81FL","AGO",2023,"northcuanza",41.3,56.1,41.3,FALSE,2023,"retained_regional_estimate",56.1,FALSE,2023,"retained_regional_estimate"
