"programme","survey","country","model_ready_records","records","deaths"
"DHS","AO62FL","AGO",44181,44181,600
"DHS","AO71FL","AGO",78397,78397,812
"DHS","AO81FL","AGO",64704,64704,498
"DHS","BU61FL","BDI",38604,38604,550
"DHS","BU71FL","BDI",76022,76022,835
"DHS","BJ41FL","BEN",1588,1588,38
"DHS","BJ51FL","BEN",88834,88834,1708
"DHS","BJ61FL","BEN",78171,78171,854
"DHS","BJ71FL","BEN",74813,74813,1085
"DHS","BF43FL","BFA",40778,40778,1045
"DHS","BF62FL","BFA",84743,84743,1610
"DHS","BF81FL","BFA",74127,74127,543
"DHS","CI62FL","CIV",39785,39785,719
"DHS","CI81FL","CIV",61165,61165,765
"DHS","CM44FL","CMR",38707,38707,852
"DHS","CM61FL","CMR",64649,64649,1151
"DHS","CM71FL","CMR",45974,45974,613
"DHS","CD51FL","COD",47647,47647,1125
"DHS","CD61FL","COD",102125,102125,1686
"DHS","CD81FL","COD",137621,137621,2043
"DHS","CG51FL","COG",25794,25794,432
"DHS","CG61FL","COG",51029,51029,536
"DHS","KM61FL","COM",17998,17998,129
"DHS","ET41FL","ETH",468,468,23
"DHS","ET51FL","ETH",57107,57107,984
"DHS","ET61FL","ETH",68312,68312,958
"DHS","ET71FL","ETH",62705,62705,711
"DHS","ET81FL","ETH",33797,33797,362
"DHS","ET8AFL","ETH",81174,81174,676
"DHS","GA41FL","GAB",1508,1508,34
"DHS","GA61FL","GAB",33506,33506,331
"DHS","GA71FL","GAB",36435,36435,291
"DHS","GH4BFL","GHA",15353,15353,258
"DHS","GH5AFL","GHA",16772,16772,219
"DHS","GH72FL","GHA",33352,33352,325
"DHS","GH8CFL","GHA",53731,53731,321
"DHS","GN52FL","GIN",35908,35908,867
"DHS","GN62FL","GIN",39920,39920,733
"DHS","GN71FL","GIN",46902,46902,769
"DHS","GM61FL","GMB",44611,44611,337
"DHS","GM81FL","GMB",49125,49125,486
"DHS","KE42FL","KEN",21204,21204,393
"DHS","KE52FL","KEN",34075,34075,393
"DHS","KE72FL","KEN",127018,127018,943
"DHS","KE8CFL","KEN",114518,114518,760
"DHS","LB51FL","LBR",31692,31692,551
"DHS","LB5AFL","LBR",22821,22821,428
"DHS","LB6AFL","LBR",44084,44084,649
"DHS","LB7AFL","LBR",32887,32887,505
"DHS","MD42FL","MDG",24494,24494,296
"DHS","MD51FL","MDG",73129,73129,777
"DHS","MD81FL","MDG",71503,71503,808
"DHS","ML41FL","MLI",8987,8987,340
"DHS","ML53FL","MLI",77894,77894,2205
"DHS","ML6AFL","MLI",58732,58732,874
"DHS","ML7AFL","MLI",56215,56215,806
"DHS","ML8AFL","MLI",88689,88689,1115
"DHS","MZ41FL","MOZ",41212,41212,964
"DHS","MZ62FL","MOZ",60470,60470,911
"DHS","MZ81FL","MOZ",52833,52833,490
"DHS","MR71FL","MRT",65366,65366,460
"DHS","MW41FL","MWI",3157,3157,125
"DHS","MW4EFL","MWI",55293,55293,1200
"DHS","MW61FL","MWI",114288,114288,1793
"DHS","MW7AFL","MWI",102346,102346,947
"DHS","MW81FL","MWI",69348,69348,465
"DHS","NM41FL","NAM",1266,1266,22
"DHS","NM51FL","NAM",26318,26318,299
"DHS","NM61FL","NAM",24195,24195,209
"DHS","NI51FL","NER",52153,52153,1328
"DHS","NI61FL","NER",73120,73120,1251
"DHS","NG4BFL","NGA",20997,20997,607
"DHS","NG53FL","NGA",157016,157016,3713
"DHS","NG61FL","NGA",32266,32266,668
"DHS","NG6AFL","NGA",177779,177779,3551
"DHS","NG7BFL","NGA",195272,195272,3804
"DHS","NG8BFL","NGA",162020,162020,2523
"DHS","RW41FL","RWA",2196,2196,72
"DHS","RW53FL","RWA",46547,46547,1073
"DHS","RW5AFL","RWA",30338,30338,467
"DHS","RW61FL","RWA",53077,53077,608
"DHS","RW70FL","RWA",45739,45739,335
"DHS","RW81FL","RWA",47138,47138,332
"DHS","SN4AFL","SEN",59928,59928,1079
"DHS","SN5AFL","SEN",87342,87342,1301
"DHS","SN61FL","SEN",68736,68736,824
"DHS","SN6DFL","SEN",38506,38506,388
"DHS","SN71FL","SEN",38866,38866,373
"DHS","SN7AFL","SEN",40157,40157,421
"DHS","SN7IFL","SEN",38822,38822,359
"DHS","SN7ZFL","SEN",71323,71323,643
"DHS","SN81FL","SEN",39314,39314,318
"DHS","SN8BFL","SEN",35351,35351,243
"DHS","SN8SFL","SEN",61934,61934,422
"DHS","SL51FL","SLE",31344,31344,654
"DHS","SL61FL","SLE",68076,68076,1535
"DHS","SL7AFL","SLE",57080,57080,997
"DHS","ST51FL","STP",10839,10839,92
"DHS","SZ51FL","SWZ",11268,11268,209
"DHS","TD41FL","TCD",29949,29949,787
"DHS","TD71FL","TCD",106120,106120,1963
"DHS","TG61FL","TGO",35856,35856,482
"DHS","TZ4IFL","TZA",45594,45594,785
"DHS","TZ63FL","TZA",45125,45125,541
"DHS","TZ7BFL","TZA",56917,56917,562
"DHS","TZ82FL","TZA",61723,61723,425
"DHS","UG41FL","UGA",3417,3417,91
"DHS","UG52FL","UGA",46139,46139,919
"DHS","UG5AFL","UGA",20657,20657,263
"DHS","UG61FL","UGA",44636,44636,603
"DHS","UG7BFL","UGA",75366,75366,731
"DHS","ZA71FL","ZAF",15261,15261,103
"DHS","ZM42FL","ZMB",13278,13278,383
"DHS","ZM51FL","ZMB",34258,34258,614
"DHS","ZM61FL","ZMB",78600,78600,906
"DHS","ZM71FL","ZMB",57564,57564,528
"DHS","ZM81FL","ZMB",51051,51051,324
"DHS","ZW52FL","ZWE",29737,29737,392
"DHS","ZW62FL","ZWE",29334,29334,383
"DHS","ZW72FL","ZWE",30500,30500,321
"MICS","MC_BEN2014","BEN",71930,71930,1191
"MICS","MC_BEN2021","BEN",78127,78127,922
"MICS","MC_CAF2018","CAF",49336,49336,709
"MICS","MC_CIV2016","CIV",52844,52844,824
"MICS","MC_CMR2014","CMR",42285,42285,641
"MICS","MC_COD2017","COD",118878,118878,1326
"MICS","MC_COG2014","COG",51604,51604,500
"MICS","MC_COM2022","COM",26252,26252,134
"MICS","MC_GHA2011","GHA",44452,44452,618
"MICS","MC_GHA2017","GHA",49927,49927,416
"MICS","MC_GIN2016","GIN",44344,44344,554
"MICS","MC_GMB2018","GMB",61062,61062,561
"MICS","MC_GNB2014","GNB",43628,43628,598
"MICS","MC_GNB2018","GNB",42786,42786,341
"MICS","MC_KEN2013BUN","KEN",5025,5025,34
"MICS","MC_KEN2013KAK","KEN",4460,4460,45
"MICS","MC_KEN2009MOM","KEN",2793,2793,42
"MICS","MC_KEN2011NYA","KEN",29476,29476,411
"MICS","MC_KEN2013TUR","KEN",5969,5969,49
"MICS","MC_MDG2018","MDG",73255,73255,681
"MICS","MC_MDG2012S","MDG",16676,16676,225
"MICS","MC_MLI2015","MLI",99438,99438,1466
"MICS","MC_MOZ2008","MOZ",66350,66350,1396
"MICS","MC_MRT2011","MRT",51041,51041,555
"MICS","MC_MRT2015","MRT",59459,59459,502
"MICS","MC_MWI2006","MWI",132667,132667,2381
"MICS","MC_MWI2013","MWI",112356,112356,1436
"MICS","MC_MWI2019","MWI",89340,89340,741
"MICS","MC_NGA2016","NGA",166743,166743,3028
"MICS","MC_NGA2021","NGA",162146,162146,2454
"MICS","MC_SEN2015DKR","SEN",27045,27045,171
"MICS","MC_SLE2017","SLE",68115,68115,885
"MICS","MC_SOM2006","SOM",35871,35871,705
"MICS","MC_SOM2011NE","SOM",29796,29796,218
"MICS","MC_SOM2011SL","SOM",28324,28324,410
"MICS","MC_SSD2010","SSD",57509,57509,955
"MICS","MC_STP2014","STP",11856,11856,74
"MICS","MC_STP2019","STP",10970,10970,33
"MICS","MC_SWZ2010","SWZ",9964,9964,162
"MICS","MC_SWZ2014","SWZ",9905,9905,100
"MICS","MC_SWZ2021","SWZ",8609,8609,51
"MICS","MC_TCD2019","TCD",135006,135006,2111
"MICS","MC_TGO2017","TGO",29313,29313,318
"MICS","MC_ZWE2009","ZWE",37260,37260,539
"MICS","MC_ZWE2014","ZWE",51703,51703,644
"MICS","MC_ZWE2019","ZWE",34266,34266,324
