"survey","country","survey_year","period","east_africa"
"AO71FL","AGO",2015,"late",FALSE
"AO81FL","AGO",2023,"late",FALSE
"BU61FL","BDI",2010,"early",TRUE
"BU71FL","BDI",2016,"late",TRUE
"MC_BEN2014","BEN",2014,"early",FALSE
"BJ71FL","BEN",2017,"late",FALSE
"MC_BEN2021","BEN",2021,"late",FALSE
"BF43FL","BFA",2003,"early",FALSE
"BF62FL","BFA",2010,"early",FALSE
"BF81FL","BFA",2021,"late",FALSE
"MC_CAF2018","CAF",2019,"late",FALSE
"CI62FL","CIV",2012,"early",FALSE
"MC_CIV2016","CIV",2016,"late",FALSE
"CI81FL","CIV",2021,"late",FALSE
"CM44FL","CMR",2004,"early",FALSE
"CM61FL","CMR",2011,"early",FALSE
"MC_CMR2014","CMR",2014,"early",FALSE
"CM71FL","CMR",2018,"late",FALSE
"CD51FL","COD",2007,"early",FALSE
"CD61FL","COD",2013,"early",FALSE
"MC_COD2017","COD",2018,"late",FALSE
"CD81FL","COD",2023,"late",FALSE
"CG51FL","COG",2005,"early",FALSE
"CG61FL","COG",2011,"early",FALSE
"MC_COG2014","COG",2015,"late",FALSE
"KM61FL","COM",2012,"early",TRUE
"MC_COM2022","COM",2022,"late",TRUE
"ET51FL","ETH",2005,"early",TRUE
"ET61FL","ETH",2011,"early",TRUE
"ET71FL","ETH",2016,"late",TRUE
"ET81FL","ETH",2019,"late",TRUE
"ET8AFL","ETH",2024,"late",TRUE
"GA61FL","GAB",2012,"early",FALSE
"GA71FL","GAB",2019,"late",FALSE
"GH5AFL","GHA",2008,"early",FALSE
"MC_GHA2011","GHA",2011,"early",FALSE
"GH72FL","GHA",2014,"early",FALSE
"MC_GHA2017","GHA",2017,"late",FALSE
"GH8CFL","GHA",2022,"late",FALSE
"GN52FL","GIN",2005,"early",FALSE
"GN62FL","GIN",2012,"early",FALSE
"MC_GIN2016","GIN",2016,"late",FALSE
"GN71FL","GIN",2018,"late",FALSE
"GM61FL","GMB",2013,"early",FALSE
"MC_GMB2018","GMB",2018,"late",FALSE
"GM81FL","GMB",2019,"late",FALSE
"MC_GNB2014","GNB",2014,"early",FALSE
"MC_GNB2018","GNB",2019,"late",FALSE
"KE42FL","KEN",2003,"early",TRUE
"KE52FL","KEN",2008,"early",TRUE
"MC_KEN2009MOM","KEN",2009,"early",TRUE
"MC_KEN2011NYA","KEN",2011,"early",TRUE
"MC_KEN2013BUN","KEN",2013,"early",TRUE
"MC_KEN2013KAK","KEN",2013,"early",TRUE
"MC_KEN2013TUR","KEN",2013,"early",TRUE
"KE72FL","KEN",2014,"early",TRUE
"KE8CFL","KEN",2022,"late",TRUE
"MD42FL","MDG",2004,"early",TRUE
"MC_MDG2018","MDG",2018,"late",TRUE
"MD81FL","MDG",2021,"late",TRUE
"ML53FL","MLI",2006,"early",FALSE
"ML6AFL","MLI",2012,"early",FALSE
"MC_MLI2015","MLI",2015,"late",FALSE
"ML7AFL","MLI",2018,"late",FALSE
"ML8AFL","MLI",2023,"late",FALSE
"MZ41FL","MOZ",2003,"early",TRUE
"MC_MOZ2008","MOZ",2008,"early",TRUE
"MZ62FL","MOZ",2011,"early",TRUE
"MZ81FL","MOZ",2022,"late",TRUE
"MC_MRT2011","MRT",2011,"early",FALSE
"MC_MRT2015","MRT",2015,"late",FALSE
"MR71FL","MRT",2020,"late",FALSE
"MW4EFL","MWI",2004,"early",TRUE
"MC_MWI2006","MWI",2006,"early",TRUE
"MW61FL","MWI",2010,"early",TRUE
"MC_MWI2013","MWI",2014,"early",TRUE
"MW7AFL","MWI",2015,"late",TRUE
"MC_MWI2019","MWI",2020,"late",TRUE
"MW81FL","MWI",2024,"late",TRUE
"NM51FL","NAM",2006,"early",FALSE
"NM61FL","NAM",2013,"early",FALSE
"NI51FL","NER",2006,"early",FALSE
"NI61FL","NER",2012,"early",FALSE
"NG4BFL","NGA",2003,"early",FALSE
"NG53FL","NGA",2008,"early",FALSE
"NG6AFL","NGA",2013,"early",FALSE
"MC_NGA2016","NGA",2016,"late",FALSE
"NG7BFL","NGA",2018,"late",FALSE
"NG8BFL","NGA",2024,"late",FALSE
"RW53FL","RWA",2005,"early",TRUE
"RW61FL","RWA",2010,"early",TRUE
"RW70FL","RWA",2015,"late",TRUE
"RW81FL","RWA",2019,"late",TRUE
"SN4AFL","SEN",2005,"early",FALSE
"SN61FL","SEN",2010,"early",FALSE
"SN6DFL","SEN",2012,"early",FALSE
"SN71FL","SEN",2014,"early",FALSE
"SN7AFL","SEN",2015,"late",FALSE
"MC_SEN2015DKR","SEN",2015,"late",FALSE
"SN7IFL","SEN",2016,"late",FALSE
"SN7ZFL","SEN",2017,"late",FALSE
"SN81FL","SEN",2018,"late",FALSE
"SN8BFL","SEN",2019,"late",FALSE
"SN8SFL","SEN",2023,"late",FALSE
"SL51FL","SLE",2008,"early",FALSE
"SL61FL","SLE",2013,"early",FALSE
"MC_SLE2017","SLE",2017,"late",FALSE
"SL7AFL","SLE",2019,"late",FALSE
"SZ51FL","SWZ",2006,"early",FALSE
"MC_SWZ2010","SWZ",2010,"early",FALSE
"MC_SWZ2014","SWZ",2014,"early",FALSE
"MC_SWZ2021","SWZ",2021,"late",FALSE
"TD71FL","TCD",2014,"early",FALSE
"MC_TCD2019","TCD",2019,"late",FALSE
"TG61FL","TGO",2013,"early",FALSE
"MC_TGO2017","TGO",2017,"late",FALSE
"TZ4IFL","TZA",2004,"early",TRUE
"TZ63FL","TZA",2010,"early",TRUE
"TZ7BFL","TZA",2015,"late",TRUE
"TZ82FL","TZA",2022,"late",TRUE
"UG52FL","UGA",2006,"early",TRUE
"UG61FL","UGA",2011,"early",TRUE
"UG7BFL","UGA",2016,"late",TRUE
"ZA71FL","ZAF",2016,"late",FALSE
"ZM51FL","ZMB",2007,"early",TRUE
"ZM61FL","ZMB",2013,"early",TRUE
"ZM71FL","ZMB",2018,"late",TRUE
"ZM81FL","ZMB",2024,"late",TRUE
"ZW62FL","ZWE",2010,"early",TRUE
"MC_ZWE2014","ZWE",2014,"early",TRUE
"ZW72FL","ZWE",2015,"late",TRUE
"MC_ZWE2019","ZWE",2019,"late",TRUE
